Image_ID,Item_ID,Question,Answer,Image_Path
71hykuVUr4L,B07TCWR69F,Is this phone case compatible with a Samsung Galaxy A8 (2016)?,Yes,24/24aef529.jpg
81HQfBrfzKL,B07CDRN3QJ,What is the color of this sectional sofa?,Blue,10/10ccbb30.jpg
51tCQ-uGsXL,B07VT9JC54,What is the color of this screen protector?,Black,7a/7abaf39a.jpg
71e5zDRR+xL,B07TF1BZJ9,Is this case slim?,Yes,49/49b1b22b.jpg
71HHXWZ5pvS,B000T38VF4,How many pillows are included?,Two,69/691731a2.jpg
81r4SDjb0SL,B01NC095F3,What is the closure type of the boot?,Zipper,6e/6efba2b4.jpg
81HDxW0v29L,B07V6D7BTB,Is this cat food grain-free?,Yes,28/28039149.jpg
512S7391MuL,B07CGLGB1K,Is this necklace sterling silver?,Yes,ac/ac21daf3.jpg
61tMiGNbhML,B07YVMCSZM,What is the weight of the sausage package in ounces?,19,b1/b1d3381b.jpg
71k4EXCyY1L,B0853VHFY8,What is the upholstery fabric color of the Stone & Beam Kingsepp Glider?,Oyster,c6/c64edbb9.jpg
91rBj+0DAmL,B07TFXSPRL,Are these gloves sold as a pair?,Yes,b5/b50a129f.jpg
613jL3B7XZL,B010S9N6OO,Is this cable Apple MFi certified?,Yes,c8/c8b30e18.jpg
81W0pBkKdXL,B08569BFFJ,What is the primary material of this phone case?,Silicon,85/85192c70.jpg
716CUfwp19L,B081QSX295,What is the type of washing machine this detergent is for?,Top-load,5c/5c5950c3.jpg
81fzo7BrkOL,B07T14Z5P3,Is this case compatible with the Micromax Canvas Fire 4 A107?,Yes,49/49b1b22b.jpg
81ShwFhKt8L,B084XQZXLP,What is the material of the find. Ezra men's slippers?,Suede,04/04c8514d.jpg
716g35vrMXL,B07TG4LWNS,Is this case hard?,Yes,86/869e5de6.jpg
71+XDZVIgrL,B07TH3DNQF,Is this case for an InFocus M350?,Yes,cc/cc541a89.jpg
81CEq-DwYIL,B07MR4GRQP,What is the color of this AmazonBasics TV mount?,Black,10/105b5081.jpg
61th8dmrolL,B077S3PD8Y,Is the sole of this sandal ribbed?,Yes,0e/0eaf2b00.jpg
71K2si8zavL,B07MK1N7P6,How many blades does this razor cartridge have?,Five,cb/cb78d46e.jpg
51wiRu6gT9L,B08511LL42,What is the case's material?,Plastic,d8/d87e51cf.jpg
41kLuvcfuYL,B002TLTE6Y,Does this mount support TVs from 34 to 65 inches?,Yes,d5/d5b3dc98.jpg
91E1Nde3NoL,B071P9Y9GD,Are these boots made of genuine leather?,No,d1/d154b5c6.jpg
61NuG-EoOuL,B07TH374PK,Is this case slim?,Yes,66/66f3a68c.jpg
41JT6LQKLOL,B07DBJJ5QB,What is the lamp's style?,Table,90/908a4b8b.jpg
71Qx3UDNXVL,B07TN1ZT1N,What color is the bean bag chair?,Black,80/80089d25.jpg
61PTbInUPiL,B083P8DWVD,What is the case's primary material?,Silicon,d9/d9bf1f18.jpg
71Sp7jQmxPL,B07TC5XDN6,Is this Samsung Galaxy S5 case compatible with wireless charging?,No,66/66f3a68c.jpg
61gSxPkO6gL,B081HNV9JS,What is the case's material?,Plastic,47/47f0c738.jpg
91cf84lQSvL,B074MFBVYL,Is this product Gluten-Free?,Yes,9d/9dbafb39.jpg
81B4e0EI1FL,B019NTE5YU,Is a storage bag included?,Yes,58/5833603b.jpg
812evjAVv1L,B06XG9V3J1,What style of shoe is this?,Loafers,4c/4cb26388.jpg
51L-MyU8SdL,B07K7NSKCZ,Is the table extendable?,Yes,44/449f0e0f.jpg
71GvJvUw9+L,B07TF1FNPR,Is this Nokia 2.1 case compatible with wireless charging?,No,66/66f3a68c.jpg
81FoTwXu9KL,B07BWMSQC3,Is assembly required?,No,d8/d862575b.jpg
61IgjPrKKFL,B07TF19NHR,Is this case compatible with the Samsung Z3?,Yes,66/66f3a68c.jpg
71MDu2hjJ8L,B0732TMPY3,Are these boots fully leather?,Yes,26/2692fb40.jpg
71H+s8bUqiL,B076ZZ7KKZ,Is this a slip-on style mule?,Yes,5c/5c493f5a.jpg
71F8o-m8G4L,B07T1Z9CWM,Is this case slim?,Yes,66/66f3a68c.jpg
71B2KCmr5+L,B07TG4KYXX,Is the case design precisely printed to avoid blurry images?,Yes,66/66f3a68c.jpg
61UW8-gA7XL,B07Z4BR54R,What deity is depicted on the phone case?,Shiva,47/47f0c738.jpg
91GBoEQLyQL,B07W6HW46Z,What is the brand of these speakers?,AmazonBasics,64/64d0c5bd.jpg
71rs6zRJjLL,B081D8DC93,What is the color of the AmazonBasics Charcoal Grill?,Black,09/092bf199.jpg
61Nv5S6m5qL,B0112W79N0,Are these hangers suitable for children's clothes?,Yes,90/9013f082.jpg
61CL8pgrJSL,B0788FT982,Are these sandals flat?,Yes,9c/9cbb9f3b.jpg
71b6VPIJxyL,B07TG3TVBW,Is the bird image printed on the entire back of the case?,Yes,71/71b9b5a3.jpg
61b2KzXAv2L,B07WSQK2YV,What is the timer's cycle length?,24-hour,c0/c0a5010c.jpg
71MtDBwXUML,B07T6MLNGY,Is this a slim case?,Yes,61/613e56a4.jpg
71jve7IDT1L,B076RB2FJM,Is the ankle strap adjustable?,Yes,d0/d0d041f3.jpg
61213ZOWI6L,B082DMWHGW,What is the dominant color of the phone case design?,Blue,07/0753fa29.jpg
61ZNKev5J3L,B074VDJ7KZ,Is this butter salted?,No,bc/bca73beb.jpg
71lhmaZaeRL,B0854LZBJY,What is the primary material of this phone case?,Silicon,2f/2f357c87.jpg
71eqvHMnREL,B0751FC84K,Does this product contain milk?,Yes,36/36c8e2f2.jpg
816VP-arPsL,B07CSCXJ3T,Is the sofa's frame made of solid wood?,No,dc/dc976a53.jpg
71WCn9phT5L,B01DN8TG46,What is the color of the AmazonBasics footrest?,Black,54/5483744c.jpg
91nRFt1adnL,B01N6WEEG1,Does this bootie have a zipper?,Yes,bb/bb03de2e.jpg
91PfsvfIrBL,B074MFG6MT,What is the drying method used for these apple slices?,Freeze-dried,83/83bce7fd.jpg
61QZq7Wh6AL,B07CWC6CB6,What is the diameter of the frying pan?,24cm,e3/e34ace13.jpg
517XC3JxuML,B009A6AVIQ,Are these cufflinks hypoallergenic?,Yes,ae/ae6f9848.jpg
61YoBCTRerL,B081HNQR96,What is the material of this phone case?,Plastic,47/47f0c738.jpg
91zd1kT+VbL,B074JPJ3JD,Is the inside zipper located at the ankle?,Yes,e2/e2b5a787.jpg
51kfYOn5r4L,B0797M1NX5,Are these slides true to size?,No,a7/a73c362e.jpg
61-uDAVYwXL,B0817D2DL8,What style are these shoes?,Slingback,59/59630ced.jpg
81QvyC-PJLL,B07W6ZQKDF,What is the ice cream flavor?,RockyRoad,a1/a167dd12.jpg
81p+d4R+M5L,B07QPJ8QQL,How many outlets does this surge protector have?,Twelve,8b/8b88dcee.jpg
51p3JwLo7nL,B07VZZF9K3,What color is the case?,Black,6c/6cf0e491.jpg
61Xu4plaLUL,B01LWXF89K,How many bottles are included?,Two,d2/d2c2ea14.jpg
716Q13YxXKL,B07TH38C4W,Is this case hard?,Yes,8b/8b366cc4.jpg
71S9vkeIEPL,B07TG4VF11,Is this Oppo F3 case truly 3D printed?,Yes,a2/a2ebb658.jpg
81Iey+9S50L,B079MC4FZM,Is this chicken breast pre-packaged?,Yes,50/50afdb37.jpg
61kyrS09ZeL,B07F2HR9Z7,Does this stool swivel?,Yes,7f/7f879bab.jpg
71uOZHJHz1L,B07B69QPD7,Is this T8 LED tube dimmable?,No,0b/0b43fb65.jpg
618VSNxY6TL,B07TG4STGK,Is this case hard?,Yes,c5/c52525f2.jpg
61AOuuav0bL,B07TG3R5GF,Is this case compatible with the Asus Zenfone 3S Max?,Yes,43/438784ea.jpg
91FSEWsaEsL,B0757NMPNZ,Is this framed?,Yes,c9/c94dc188.jpg
81rIeG8eBkL,B07T7KLTHH,Is this phone case compatible with a Samsung Galaxy J7 (2016)?,Yes,6a/6a9ec606.jpg
71TyHW1l9ML,B07TF1BJS5,Is this case compatible with a Lenovo K6 Note?,Yes,53/532ee4a1.jpg
91OSggzZTtL,B07BHH1G7Z,What is the mattress foundation's height?,Nine,77/77e5cc0e.jpg
71RBUsy39aL,B079V3CVK7,Are these shoes made of leather?,No,cb/cbb3ae6c.jpg
61VjywKPSYL,B084S6NL1P,What is the material composition of the desk's surface?,Melamine,8d/8dae8ccb.jpg
817u5zE7I+L,B01EFMIL4U,Is the zipper on this laptop sleeve easy to use?,Yes,56/56ed9e2e.jpg
711ooitHddL,B07TF1G4K5,Is this case compatible with the Nokia 3.1 Plus?,Yes,6d/6d43281f.jpg
71In9G44ZPL,B073HGLVZJ,Are these vacuum bags compatible with a Bosch GL 50?,Yes,17/173e2b70.jpg
81FoTwXu9KL,B07BWMSQC3,Is assembly required for this sectional sofa?,No,d8/d862575b.jpg
71qyi42IJkL,B0746MHV7W,Are these slippers suitable for outdoor wear?,Yes,59/5960f15b.jpg
91XKXT8vNKL,B07FDDS6PD,What is the color of the garment bag?,Black,c1/c17e4061.jpg
61hiG3YGJjL,B07R5V7L51,Is this case for a Huawei Nova 3i?,Yes,20/201052b3.jpg
71ejfQTZXUL,B07WJ5SQ4D,What is the sofa's seating capacity?,Three,a7/a7c528e8.jpg
71xulTEEiQL,B07L4VDSXD,What type of shoe is this?,Ballerina,2d/2da71c5f.jpg
710OjSZwy6L,B00GYVBQU2,Is this steam table cover oven-safe?,Yes,5d/5dfd9208.jpg
61T43JhzDFL,B07J572KNC,What is the gemstone color?,Yellow,c2/c29ce301.jpg
71wF7e3xFdL,B07TG4VCNB,Is this a slim case?,Yes,66/66f3a68c.jpg
61KZ+TsFWNL,B07DVSWVRC,What is the color of the cabinet?,Gray,50/5011f2ab.jpg
61WNUxfVQSL,B06XCGVDS4,Are these shoes made of suede?,Yes,42/42b4fba4.jpg
515mlPKgE-L,B07GDWYXG1,Is this door handle for interior or exterior use?,Interior,21/21d51552.jpg
91cf84lQSvL,B074MFBVYL,Are these potato chips gluten-free?,Yes,52/528a741e.jpg
A11iXjPIJxL,B00MHUZMO0,Is this fitted sheet made of 100% cotton?,No,90/90424798.jpg
71PExODEvVL,B07PJT9PC2,What is the color of the AmazonBasics DECT Home Telephone?,White,58/588937f8.jpg
81ysd7wI6gL,B07D9RQ8B3,What is the print of the boots?,Leopard,e7/e73c9b68.jpg
71Z+iYgGXVL,B07TQH9VTG,Is this case for a Samsung Galaxy S10?,Yes,bc/bcb0e667.jpg
61ELS5TALTL,B071WP9GNF,What is the shape of the sunglasses?,Round,1f/1fba1f3c.jpg
81r4SDjb0SL,B01NC095F3,Does this bootie have a zipper closure?,Yes,0f/0f2d21e5.jpg
81vxDjt9PFL,B084T7P7CL,What is the upholstery material of the Movian Tima bar stools?,Fabric,51/512e5921.jpg
81-NsNJc8sL,B0845BQBTD,What is the outer material of these shoes?,Cotton,1c/1ca1186b.jpg
71+Z5-oyTOL,B07B1P28GK,Is the included dressing a vinaigrette?,Yes,e6/e6a32423.jpg
81JrEbrruTL,B07TH3ZZ49,Is this case for a Xiaomi Redmi 3S?,Yes,4b/4bc8c622.jpg
A1KSfX5mryL,B078LBHRGF,What is the dominant color of the coverlet set?,Sage,72/72e52a1e.jpg
71vNlD1gKxL,B07T2LLL4D,Is this case 3D printed?,Yes,66/66f3a68c.jpg
51fKz9hjeCL,B07JVN89YF,What is the seating capacity of this sofa?,Three,b8/b8db144d.jpg
718fjKMnNcL,B0853X2H3Z,What is the case's design style?,Girlie,38/38b870af.jpg
71pL5pXLXUL,B07DC4L7FW,What is the brand of this resistance band?,UMI,82/8210329b.jpg
811xi+ecxOL,B07TH37L1H,Is this case compatible with the Vivo Y21L?,Yes,43/4398c320.jpg
819XWZQQ8WL,B01H2AYSHQ,What is the form of the cayenne pepper?,Ground,25/2585d0e2.jpg
519sg68zCOL,B07YWZ2722,Is this product new?,No,61/61dd9b83.jpg
91U+IR5wYIL,B082XBGYNQ,What is the style of this wall art?,Modern,d2/d210c12f.jpg
61SWwiColsL,B07TC6DSKM,Is this case slim?,Yes,66/66f3a68c.jpg
71NgIYlFpUL,B0854D54G3,What is the design printed on the phone case?,Panda,85/85192c70.jpg
6129zAZEsnL,B075NRBB8V,What is the color of the Movian Buran armchair?,Grey,b0/b093a3a2.jpg
71n2KnvG0GL,B07W13Q89B,What type of peeler is this?,Julienne,61/61f3fb09.jpg
71tlpahfWcL,B06XH4581J,What material is the shoe's upper made of?,Leather,4a/4a4eb739.jpg
61th8dmrolL,B077S3PD8Y,Are these sandals open-toed?,Yes,e7/e748ac97.jpg
91GBoBZDApL,B07NRLL25V,Is this brownie mix dairy-free?,Yes,0f/0f7e54c9.jpg
61EN8PTdubL,B07QRZV67T,What is the brand of this multivitamin?,Solimo,cf/cf74dad5.jpg
51-W6IKbrfL,B07XL35L8B,What is the product's type?,Cleaner,18/1850a9a9.jpg
71msBwPgt4L,B07TH32B7F,Is this case slim?,Yes,49/49b1b22b.jpg
61IxhujxkxL,B07PGN1RJJ,What color are the shoes?,White,0a/0af9a602.jpg
819VBOJB4mL,B01DN8TN8K,What is the point style of the markers?,Fine,76/7636958d.jpg
51sxtY2h1+L,B07PP5PMHJ,What is the duvet cover's color?,Green,67/67449478.jpg
71qywMb8GPL,B074MFDR45,What is the flavor of this electrolyte powder?,Raspberry,c6/c66130e9.jpg
716SrRaD21L,B07TRWTD13,Is the case for an Oppo F9?,Yes,7a/7a6958ca.jpg
71objFyTkEL,B00D2VUOU0,What is the cover's color?,Grey,2b/2b657682.jpg
81JKHwVh91L,B079V2C4ZZ,Are these shoes made of genuine leather?,Yes,b8/b81c24c6.jpg
91aQvPDDjrL,B07JX125DZ,Is this rice Basmati?,Yes,0f/0f38c5ac.jpg
61+fsAmOTKL,B07TG47RXW,Is this phone case compatible with the Gionee Marathon M5 Plus?,Yes,d6/d618e6bc.jpg
81xc-Ld2wVL,B07XDQWFMX,What is the color of the sconce?,Black,39/39eb96db.jpg
71tOuK4op-L,B07QRJZV5S,What is the phone model this case is designed for?,Moto G6,49/49b1b22b.jpg
71mQOCmXftL,B0821ZMPBF,What is the metal of these hoop earrings?,StainlessSteel,a0/a0dbfe37.jpg
71Qbqj8vatL,B07TBV79F7,Is this case compatible with the Oppo A37?,Yes,49/49b1b22b.jpg
71iHvEqRBeL,B076RJJJ1H,Are these shoes made of genuine leather?,No,c6/c6ebd90b.jpg
81-+KKj0xsL,B07TBV1HW2,Is the Apple logo visible through the case?,Yes,49/49b1b22b.jpg
71zApQD4rML,B0854BVRSQ,What is the case's primary material?,Silicon,2e/2e7119f5.jpg
91Wl5r3xm6L,B074T1Z42H,Is the case compatible with wireless charging?,No,e2/e2a40560.jpg
51Iku6LFIKL,B06XSRBYNN,Is this adapter reversible?,No,81/81705bb0.jpg
81I1mUvItSL,B075Z439GS,What is the closure type of these shoes?,Lace-Up,21/214fbb10.jpg
617kB4h76qL,B082F2LFTC,What is the light bulb's color temperature?,Daylight,30/3039799b.jpg
71qa9wOSeKL,B0142RYEAI,Are these boots made of leather?,Yes,6b/6b45abfd.jpg
71-8D6sTVYL,B07TH39LP2,Is this phone case compatible with the Lenovo A7700?,Yes,1d/1d6277ad.jpg
81oYQ24C+BL,B07FMZTBQF,What is the case color?,Black,96/9649159a.jpg
81-jXGdUPRL,B074MGKHJ3,What is the CoQ10 dosage in mg?,60,53/53e22beb.jpg
514VHoCcboL,B07L8ZVNDZ,What is the color of the sandals?,White,3f/3f4bf7d1.jpg
91URc5sbXwL,B07T938QB8,Are these pads made of genuine leather?,No,ca/caeb2800.jpg
71kWxTcmnoL,B0749RNK1F,Is this a single-layer shade?,No,92/928d842b.jpg
71EeDQWVzRL,B007P0WNF8,Is this towel machine washable?,Yes,d6/d6a391e5.jpg
71ydmyjJf-L,B0753M8VJC,What is the central gemstone's shape?,Oval,8d/8de6a814.jpg
91vU8v5p0bL,B07BL6CX6Y,What is the color of the suitcase?,Red,8b/8bc7c474.jpg
A1AFTjFpqiL,B00MHV0PLO,Is this fitted sheet made of 100% cotton?,Yes,a7/a74950db.jpg
81hkyX03LiL,B01FJC6692,Are the included AAA batteries pre-charged?,Yes,a2/a292ffa6.jpg
61WpT-Z0SlL,B07PRBKK77,What is the finish of the hooks?,Nickel,a7/a77385bc.jpg
71-fXlJgO6L,B076RCCD97,What is the color of the sandal?,Pink,54/546fefd5.jpg
71yoVGfcElL,B07QWTXQSB,What is the weight of this WAG dog food?,4,7e/7e2f3a82.jpg
A10-7SdFXTL,B075HXJ6Q9,Is hanging hardware included?,No,b7/b7fcff3d.jpg
7159VJbGpEL,B07X5Y9C6N,What is the color of the labels?,White,59/59e2e417.jpg
91SK4-Q3DEL,B0753H4S9J,Is it machine washable?,Yes,59/59e13429.jpg
61rPasB575L,B07ZL1ZYN8,What is the color of the bungee cords?,Red,85/85f4d092.jpg
81DgaLFYYpL,B0735W3QK6,"Is this rug's pile height considered low, medium, or high?",Medium,38/382cf815.jpg
61HulPfa3vL,B083KP221C,What is the primary color of the filter housing?,White,24/247174ae.jpg
61wgdRlU3hL,B07FRBC3YG,What is the color of the slippers?,Off-white,d5/d568115f.jpg
81ZgcTJLhoL,B07HZ6LL7B,What is the color of the sofa?,Navy,36/369059d2.jpg
716K4NRkrTL,B07TCWTHBK,Is this case slim?,Yes,49/49b1b22b.jpg
61BSvdyg0oL,B0813YNP1K,What is the primary color of this Iris shelving unit?,Brown,b0/b07269a6.jpg
81rM24Ue6qL,B07TG4FD74,Is this case compatible with the Samsung Z3?,Yes,49/49b1b22b.jpg
51mYG3MjmVL,B081FGJK6P,What is the color of the Solimo fabric storage boxes?,Blue,58/58e4f1b7.jpg
61-yp1ZPdxL,B081HNSP8R,What is the design style of this phone case?,Printed,d8/d89025e7.jpg
91+rDNDy7WL,B07CSCZKVQ,Is this recliner made of leather?,Yes,79/792c5d5b.jpg
51RDnqrVstL,B079QTSHFK,Are these unisex socks?,Yes,ba/baa55a8e.jpg
